Date,HalfHour,Price,Unit,TotalSystemDemandMW,Unit,TotalSystemDemandMWh,Unit,,,,,
1/1/2022,1,205.61,SGD/MWh,5585.018,MW,2792.509,MWh,,,,,
1/1/2022,2,202.32,SGD/MWh,5482.432,MW,2741.216,MWh,,,,,
1/1/2022,3,155.84,SGD/MWh,5415.401,MW,2707.7005,MWh,,,,,
1/1/2022,4,155.73,SGD/MWh,5377.6,MW,2688.8,MWh,,,,,
1/1/2022,5,120.85,SGD/MWh,5332.805,MW,2666.4025,MWh,,,,,
1/1/2022,6,120.84,SGD/MWh,5302.155,MW,2651.0775,MWh,,,,,
1/1/2022,7,118.75,SGD/MWh,5243.474,MW,2621.737,MWh,,,,,
1/1/2022,8,110.89,SGD/MWh,5206.085,MW,2603.0425,MWh,,,,,
1/1/2022,9,110.87,SGD/MWh,5176.603,MW,2588.3015,MWh,,,,,
1/1/2022,10,110.87,SGD/MWh,5184.848,MW,2592.424,MWh,,,,,
1/1/2022,11,110.87,SGD/MWh,5206.314,MW,2603.157,MWh,,,,,
1/1/2022,12,110.99,SGD/MWh,5270.511,MW,2635.2555,MWh,,,,,
1/1/2022,13,118.82,SGD/MWh,5331.051,MW,2665.5255,MWh,,,,,
1/1/2022,14,118.8,SGD/MWh,5367.809,MW,2683.9045,MWh,,,,,
1/1/2022,15,122.05,SGD/MWh,5418.1,MW,2709.05,MWh,,,,,
1/1/2022,16,178.91,SGD/MWh,5515.035,MW,2757.5175,MWh,,,,,
1/1/2022,17,232.72,SGD/MWh,5601.936,MW,2800.968,MWh,,,,,
1/1/2022,18,237.89,SGD/MWh,5658.931,MW,2829.4655,MWh,,,,,
1/1/2022,19,237.96,SGD/MWh,5711.38,MW,2855.69,MWh,,,,,
1/1/2022,20,383.75,SGD/MWh,5816.326,MW,2908.163,MWh,,,,,
1/1/2022,21,356.55,SGD/MWh,5814.94,MW,2907.47,MWh,,,,,
1/1/2022,22,238.58,SGD/MWh,5847.886,MW,2923.943,MWh,,,,,
1/1/2022,23,237.65,SGD/MWh,5837.812,MW,2918.906,MWh,,,,,
1/1/2022,24,179.01,SGD/MWh,5801.049,MW,2900.5245,MWh,,,,,
1/1/2022,25,178.19,SGD/MWh,5799.08,MW,2899.54,MWh,,,,,
1/1/2022,26,257.33,SGD/MWh,5841.365,MW,2920.6825,MWh,,,,,
1/1/2022,27,238.43,SGD/MWh,5872.895,MW,2936.4475,MWh,,,,,
1/1/2022,28,246.31,SGD/MWh,5892.164,MW,2946.082,MWh,,,,,
1/1/2022,29,297.84,SGD/MWh,5915.498,MW,2957.749,MWh,,,,,
1/1/2022,30,272.44,SGD/MWh,5891.04,MW,2945.52,MWh,,,,,
1/1/2022,31,399.56,SGD/MWh,5960.317,MW,2980.1585,MWh,,,,,
1/1/2022,32,2267.89,SGD/MWh,6035.001,MW,3017.5005,MWh,,,,,
1/1/2022,33,2681.86,SGD/MWh,6072.391,MW,3036.1955,MWh,,,,,
1/1/2022,34,2228.97,SGD/MWh,6056.228,MW,3028.114,MWh,,,,,
1/1/2022,35,621.9,SGD/MWh,6050.488,MW,3025.244,MWh,,,,,
1/1/2022,36,609.54,SGD/MWh,6043.505,MW,3021.7525,MWh,,,,,
1/1/2022,37,488.02,SGD/MWh,6046.065,MW,3023.0325,MWh,,,,,
1/1/2022,38,590.61,SGD/MWh,6098.657,MW,3049.3285,MWh,,,,,
1/1/2022,39,623.22,SGD/MWh,6140.51,MW,3070.255,MWh,,,,,
1/1/2022,40,609.69,SGD/MWh,6174.584,MW,3087.292,MWh,,,,,
1/1/2022,41,399.79,SGD/MWh,6166.408,MW,3083.204,MWh,,,,,
1/1/2022,42,261.72,SGD/MWh,6167.362,MW,3083.681,MWh,,,,,
1/1/2022,43,156.07,SGD/MWh,6115.814,MW,3057.907,MWh,,,,,
1/1/2022,44,139.91,SGD/MWh,6034.604,MW,3017.302,MWh,,,,,
1/1/2022,45,126.04,SGD/MWh,5951.997,MW,2975.9985,MWh,,,,,
1/1/2022,46,125.25,SGD/MWh,5829.532,MW,2914.766,MWh,,,,,
1/1/2022,47,122.62,SGD/MWh,5745.539,MW,2872.7695,MWh,,,,,
1/1/2022,48,110.99,SGD/MWh,5654.941,MW,2827.4705,MWh,,,,,
2/1/2022,1,290.86,SGD/MWh,5555.312,MW,2777.656,MWh,,,,,
2/1/2022,2,111.04,SGD/MWh,5430.968,MW,2715.484,MWh,,,,,
2/1/2022,3,111.08,SGD/MWh,5350.841,MW,2675.4205,MWh,,,,,
2/1/2022,4,111.01,SGD/MWh,5273.17,MW,2636.585,MWh,,,,,
2/1/2022,5,110.91,SGD/MWh,5223.813,MW,2611.9065,MWh,,,,,
2/1/2022,6,110.91,SGD/MWh,5169.555,MW,2584.7775,MWh,,,,,
2/1/2022,7,110.85,SGD/MWh,5139.378,MW,2569.689,MWh,,,,,
2/1/2022,8,110.83,SGD/MWh,5117.162,MW,2558.581,MWh,,,,,
2/1/2022,9,110.84,SGD/MWh,5114.513,MW,2557.2565,MWh,,,,,
2/1/2022,10,110.84,SGD/MWh,5119.706,MW,2559.853,MWh,,,,,
2/1/2022,11,110.83,SGD/MWh,5134.994,MW,2567.497,MWh,,,,,
2/1/2022,12,110.89,SGD/MWh,5205.648,MW,2602.824,MWh,,,,,
2/1/2022,13,110.84,SGD/MWh,5276.028,MW,2638.014,MWh,,,,,
2/1/2022,14,110.93,SGD/MWh,5327.765,MW,2663.8825,MWh,,,,,
2/1/2022,15,110.93,SGD/MWh,5356.85,MW,2678.425,MWh,,,,,
2/1/2022,16,122.11,SGD/MWh,5441.26,MW,2720.63,MWh,,,,,
2/1/2022,17,232.75,SGD/MWh,5551.903,MW,2775.9515,MWh,,,,,
2/1/2022,18,414.65,SGD/MWh,5654.165,MW,2827.0825,MWh,,,,,
2/1/2022,19,535.58,SGD/MWh,5762.099,MW,2881.0495,MWh,,,,,
2/1/2022,20,598.74,SGD/MWh,5838.647,MW,2919.3235,MWh,,,,,
2/1/2022,21,598.88,SGD/MWh,5873.904,MW,2936.952,MWh,,,,,
2/1/2022,22,523.4,SGD/MWh,5915.821,MW,2957.9105,MWh,,,,,
2/1/2022,23,523.39,SGD/MWh,5955.869,MW,2977.9345,MWh,,,,,
2/1/2022,24,620.72,SGD/MWh,5979.656,MW,2989.828,MWh,,,,,
2/1/2022,25,643.95,SGD/MWh,5995.147,MW,2997.5735,MWh,,,,,
2/1/2022,26,965.42,SGD/MWh,6011.921,MW,3005.9605,MWh,,,,,
2/1/2022,27,644.48,SGD/MWh,5990.281,MW,2995.1405,MWh,,,,,
2/1/2022,28,623.07,SGD/MWh,5979.268,MW,2989.634,MWh,,,,,
2/1/2022,29,523.4,SGD/MWh,5961.664,MW,2980.832,MWh,,,,,
2/1/2022,30,535.71,SGD/MWh,5976.678,MW,2988.339,MWh,,,,,
2/1/2022,31,523.54,SGD/MWh,6003.124,MW,3001.562,MWh,,,,,
2/1/2022,32,537.07,SGD/MWh,6013.337,MW,3006.6685,MWh,,,,,
2/1/2022,33,435.59,SGD/MWh,5955.158,MW,2977.579,MWh,,,,,
2/1/2022,34,414.85,SGD/MWh,5913.664,MW,2956.832,MWh,,,,,
2/1/2022,35,414.85,SGD/MWh,5926.526,MW,2963.263,MWh,,,,,
2/1/2022,36,435.62,SGD/MWh,5977.702,MW,2988.851,MWh,,,,,
2/1/2022,37,415.36,SGD/MWh,5980.177,MW,2990.0885,MWh,,,,,
2/1/2022,38,435.77,SGD/MWh,6033.471,MW,3016.7355,MWh,,,,,
2/1/2022,39,601.81,SGD/MWh,6094.04,MW,3047.02,MWh,,,,,
2/1/2022,40,989.06,SGD/MWh,6162.651,MW,3081.3255,MWh,,,,,
2/1/2022,41,786.16,SGD/MWh,6159.172,MW,3079.586,MWh,,,,,
2/1/2022,42,490.36,SGD/MWh,6154.326,MW,3077.163,MWh,,,,,
2/1/2022,43,454.38,SGD/MWh,6098.016,MW,3049.008,MWh,,,,,
2/1/2022,44,415.05,SGD/MWh,6000.395,MW,3000.1975,MWh,,,,,
2/1/2022,45,399.71,SGD/MWh,5866.3,MW,2933.15,MWh,,,,,
2/1/2022,46,383.83,SGD/MWh,5752.303,MW,2876.1515,MWh,,,,,
2/1/2022,47,383.7,SGD/MWh,5625.056,MW,2812.528,MWh,,,,,
2/1/2022,48,399.52,SGD/MWh,5608.889,MW,2804.4445,MWh,,,,,
3/1/2022,1,155.85,SGD/MWh,5545.029,MW,2772.5145,MWh,,,,,
